Position:	Time:
0.0	0.032
0.06531200000000001	0.064
0.12560000000000002	0.096
0.190912	0.128
0.256224	0.16
0.32153600000000004	0.192
0.381824	0.224
0.447136	0.256
0.512448	0.28800000000000003
0.5777599999999999	0.31999999999999995
0.6380480000000001	0.352
0.70336	0.384
0.768672	0.41600000000000004
0.8339840000000001	0.44799999999999995
0.894272	0.48
0.9595840000000001	0.512
1.024896	0.544
1.090208	0.576
1.1504960000000002	0.608
1.215808	0.64
1.28112	0.6719999999999999
1.346432	0.704
1.40672	0.736
1.472032	0.768
1.537344	0.8
1.597632	0.832
1.662944	0.864
1.728256	0.896
1.7935680000000003	0.9279999999999999
1.8538560000000002	0.96
1.9191680000000002	0.992
1.98448	1.024
2.049792	1.056
2.11008	1.088
2.175392	1.12
2.240704	1.152
2.306016	1.184
2.366304	1.216
2.431616	1.248
2.4969280000000005	1.28
2.56224	1.312
2.6225280000000004	1.344
2.68784	1.376
2.753152	1.408
2.8184640000000005	1.44
2.8787520000000004	1.472
2.944064	1.504
3.009376	1.536
3.069664	1.568
3.134976	1.6
3.200288	1.6320000000000001
3.2656	1.664
3.325888	1.696
3.3912	1.728
3.456512	1.76
3.5218240000000005	1.792
3.5821120000000004	1.824
3.6474240000000004	1.856
3.7127360000000005	1.888
3.778048	1.92
3.8383360000000004	1.952
3.903648	1.984
3.96896	2.016
4.0342720000000005	2.048
4.09456	2.08
4.159872	2.112
4.2251840000000005	2.144
4.290496	2.176
4.350784	2.208
4.4160960000000005	2.24
4.481408	2.2720000000000002
4.541696000000001	2.304
4.6070079999999995	2.336
4.67232	2.368
4.7376320000000005	2.4
4.79792	2.432
4.863232	2.464
4.9285440000000005	2.496
4.993856000000001	2.528
5.054144000000001	2.56
5.1194560000000005	2.592
5.184768	2.624
5.2500800000000005	2.656
5.310368	2.688
5.37568	2.72
5.4409920000000005	2.7520000000000002
5.506304	2.784
5.566592	2.816
5.6319040000000005	2.848
5.697216000000001	2.88
5.757504000000001	2.912
5.822816	2.944
5.888128	2.976
5.9534400000000005	3.008
6.013728	3.04
6.07904	3.072
6.1443520000000005	3.104
6.209664	3.136
6.269952	3.168
6.3352640000000005	3.2
6.400576	3.232
6.465888	3.2640000000000002
6.5261759999999995	3.2960000000000003
6.591488	3.328
6.6568000000000005	3.36
6.722112	3.392
6.7824	3.424
6.8477120000000005	3.456
