Angle:	Time:
0.6401565814686424	0.032
1.280503457044869	0.064
1.9209397534784478	0.096
2.5614312178084586	0.128
3.2019539269954262	0.16
3.842491520365608	0.192
4.483033126456726	0.224
5.123571815529472	0.256
5.764103450952643	0.28800000000000003
6.404625842051294	0.31999999999999995
7.045138124108583	0.352
7.685640308715697	0.384
8.326132961100434	0.41600000000000004
8.966616971792027	0.44799999999999995
9.60709339784497	0.48
10.24772639640814	0.512
10.888738372008547	0.544
11.529999143752566	0.576
12.171417776624851	0.608
12.81293177525746	0.64
13.454498199048174	0.6719999999999999
14.096087626999346	0.704
14.737680025185094	0.736
15.379261908596423	0.768
16.02082435786746	0.8
16.662361644802097	0.832
17.30387026459607	0.864
17.945348252200894	0.896
18.586794707781845	0.9279999999999999
19.22820945349292	0.96
19.869592798033867	0.992
